PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1993-ALE-000119	M	Tieschitz	WU 3f	74.5		38.5	49.1
SiC-1993-ALE-000120	M	Tieschitz	WU 3f	28.6		43.7	44.7
SiC-1993-ALE-000121	M	Tieschitz	WU 3f	56.2		55.5	50.9
SiC-1993-ALE-000122	M	Tieschitz	WU 3f	44.9		50.1	45.9
SiC-1993-ALE-000123	M	Tieschitz	WU 3f	91.3		-8.9	21.6
SiC-1993-ALE-000124	Y	Tieschitz	WU 3f	163.6		184.9	149.3
SiC-1993-ALE-000125	M	Tieschitz	WU 3f	61.9		45.0	58.5
SiC-1993-ALE-000126	M	Tieschitz	WU 3f	74.0		-24.2	3.8
SiC-1993-ALE-000127	Y	Tieschitz	WU 3f	120.8		-27.9	22.6
SiC-1993-ALE-000128	AB	Tieschitz	WU 3f	7.1		-2.2	27.4
SiC-1993-ALE-000129	M	Semarkona	WU 3f	67.5		39.8	29.9
SiC-1993-ALE-000130	Y	Semarkona	WU 3f	100.4		-6.6	-17.0
SiC-1993-ALE-000131	M	Semarkona	WU 3f	53.9		95.9	26.4
SiC-1993-ALE-000132	M	Semarkona	WU 3f	47.5		56.3	62.8
SiC-1993-ALE-000133	Y	Semarkona	WU 3f	211.0		30.5	99.5
SiC-1993-ALE-000134	Y	Semarkona	WU 3f	187.7		-0.4	59.1
SiC-1993-ALE-000135	M	Semarkona	WU 3f	23.1		54.0	47.9
SiC-1993-ALE-000136	Y	Semarkona	WU 3f	103.2		-2.5	-2.8
SiC-1993-ALE-000137	M	Semarkona	WU 3f	47.0		37.6	37.3
SiC-1993-ALE-000138	M	Semarkona	WU 3f	96.9		11.2	10.6
SiC-1993-ALE-000139	M	Krymka	WU 3f	93.2		-11.0	18.2
SiC-1993-ALE-000140	M	Krymka	WU 3f	87.1		0.3	-4.2
SiC-1993-ALE-000141	M	Krymka	WU 3f	90.0		4.9	4.4
SiC-1993-ALE-000142	M	Krymka	WU 3f	62.0		56.6	8.9
